2025-05-29 09:04:08 [background-preinit] INFO  : HV000001: Hibernate Validator 8.0.2.Final
2025-05-29 09:04:08 [main] INFO  : Starting ShoppingListServiceApplication using Java 21.0.2 with PID 13944 (C:\Users\kjerz\Desktop\projekty\ShoppingListService\target\classes started by kjerz in C:\Users\kjerz\Desktop\projekty\ShoppingListService)
2025-05-29 09:04:08 [main] INFO  : No active profile set, falling back to 1 default profile: "default"
2025-05-29 09:04:09 [main] INFO  : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-05-29 09:04:09 [main] INFO  : Finished Spring Data repository scanning in 116 ms. Found 4 JPA repository interfaces.
2025-05-29 09:04:10 [main] INFO  : Tomcat initialized with port 443 (https)
2025-05-29 09:04:10 [main] INFO  : Initializing ProtocolHandler ["https-jsse-nio-443"]
2025-05-29 09:04:10 [main] INFO  : Starting service [Tomcat]
2025-05-29 09:04:10 [main] INFO  : Starting Servlet engine: [Apache Tomcat/10.1.40]
2025-05-29 09:04:10 [main] INFO  : Initializing Spring embedded WebApplicationContext
2025-05-29 09:04:10 [main] INFO  : Root WebApplicationContext: initialization completed in 2001 ms
2025-05-29 09:04:11 [main] WARN  : Error: 1193-HY000: Unknown system variable 'WSREP_ON'
2025-05-29 09:04:11 [main] INFO  : Database: jdbc:mariadb://localhost/shopping_list_db?user=root&password=******** (MariaDB 11.7)
2025-05-29 09:04:11 [main] WARN  : Flyway upgrade recommended: MariaDB 11.7 is newer than this version of Flyway and support has not been tested. The latest supported version of MariaDB is 11.2.
2025-05-29 09:04:11 [main] INFO  : Successfully validated 1 migration (execution time 00:00.014s)
2025-05-29 09:04:11 [main] INFO  : Current version of schema `shopping_list_db`: 2
2025-05-29 09:04:11 [main] INFO  : Schema `shopping_list_db` is up to date. No migration necessary.
2025-05-29 09:04:11 [main] INFO  : HHH000204: Processing PersistenceUnitInfo [name: default]
2025-05-29 09:04:11 [main] INFO  : HHH000412: Hibernate ORM core version 6.5.2.Final
2025-05-29 09:04:11 [main] INFO  : HHH000026: Second-level cache disabled
2025-05-29 09:04:11 [main] INFO  : No LoadTimeWeaver setup: ignoring JPA class transformer
2025-05-29 09:04:11 [main] INFO  : HikariPool-1 - Starting...
2025-05-29 09:04:11 [main] INFO  : HikariPool-1 - Added connection org.mariadb.jdbc.Connection@4e481512
2025-05-29 09:04:11 [main] INFO  : HikariPool-1 - Start completed.
2025-05-29 09:04:11 [main] WARN  : HHH90000025: MariaDBDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2025-05-29 09:04:12 [main] INFO  : HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-05-29 09:04:12 [main] INFO  : Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-05-29 09:04:12 [main] WARN  : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-05-29 09:04:12 [main] INFO  : Global AuthenticationManager configured with UserDetailsService bean with name userDetailService
2025-05-29 09:04:14 [main] INFO  : Exposing 1 endpoint beneath base path '/actuator'
2025-05-29 09:04:14 [main] INFO  : Starting ProtocolHandler ["https-jsse-nio-443"]
2025-05-29 09:04:15 [main] INFO  : Connector [https-jsse-nio-443], TLS virtual host [_default_], certificate type [UNDEFINED] configured from keystore [C:\Users\kjerz\.keystore] using alias [shoppingListKey] with trust store [null]
2025-05-29 09:04:15 [main] INFO  : Tomcat started on port 443 (https) with context path '/'
2025-05-29 09:04:15 [main] INFO  : Started ShoppingListServiceApplication in 7.147 seconds (process running for 10.355)
