2025-11-12 00:02:15 [reactor-http-nio-4] WARN  : [c7e8f177-7, L:/127.0.0.1:52404 - R:localhost/127.0.0.1:4443] The connection observed an error
io.netty.handler.timeout.ReadTimeoutException: null
2025-11-12 00:06:25 [HikariPool-1 housekeeper] WARN  : HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=1m21s206ms463µs800ns).
2025-11-12 00:07:37 [SpringApplicationShutdownHook] INFO  : Commencing graceful shutdown. Waiting for active requests to complete
2025-11-12 00:07:37 [tomcat-shutdown] INFO  : Graceful shutdown complete
2025-11-12 00:07:39 [SpringApplicationShutdownHook] INFO  : Closing JPA EntityManagerFactory for persistence unit 'default'
2025-11-12 00:07:39 [SpringApplicationShutdownHook] INFO  : HikariPool-1 - Shutdown initiated...
2025-11-12 00:07:39 [SpringApplicationShutdownHook] INFO  : HikariPool-1 - Shutdown completed.
2025-11-12 20:09:37 [background-preinit] INFO  : HV000001: Hibernate Validator 8.0.2.Final
2025-11-12 20:09:37 [main] INFO  : Starting ShoppingListServiceApplication using Java 21.0.3 with PID 11576 (C:\Users\kjerz\Desktop\programy programowanie\projekty\ShoppingListService\target\classes started by kjerz in C:\Users\kjerz\Desktop\programy programowanie\projekty\ShoppingListService)
2025-11-12 20:09:37 [main] INFO  : No active profile set, falling back to 1 default profile: "default"
2025-11-12 20:09:38 [main] INFO  : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-11-12 20:09:38 [main] INFO  : Finished Spring Data repository scanning in 123 ms. Found 4 JPA repository interfaces.
2025-11-12 20:09:39 [main] INFO  : Tomcat initialized with port 443 (https)
2025-11-12 20:09:39 [main] INFO  : Initializing ProtocolHandler ["https-jsse-nio-443"]
2025-11-12 20:09:39 [main] INFO  : Starting service [Tomcat]
2025-11-12 20:09:39 [main] INFO  : Starting Servlet engine: [Apache Tomcat/10.1.40]
2025-11-12 20:09:39 [main] INFO  : Initializing Spring embedded WebApplicationContext
2025-11-12 20:09:39 [main] INFO  : Root WebApplicationContext: initialization completed in 1970 ms
2025-11-12 20:09:40 [main] WARN  : Error: 1193-HY000: Unknown system variable 'WSREP_ON'
2025-11-12 20:09:40 [main] INFO  : Database: jdbc:mariadb://localhost/shopping_list_db?user=root&password=******** (MariaDB 11.7)
2025-11-12 20:09:40 [main] WARN  : Flyway upgrade recommended: MariaDB 11.7 is newer than this version of Flyway and support has not been tested. The latest supported version of MariaDB is 11.2.
2025-11-12 20:09:40 [main] INFO  : Successfully validated 1 migration (execution time 00:00.041s)
2025-11-12 20:09:40 [main] INFO  : Current version of schema `shopping_list_db`: 2
2025-11-12 20:09:40 [main] INFO  : Schema `shopping_list_db` is up to date. No migration necessary.
2025-11-12 20:09:40 [main] INFO  : HHH000204: Processing PersistenceUnitInfo [name: default]
2025-11-12 20:09:40 [main] INFO  : HHH000412: Hibernate ORM core version 6.5.2.Final
2025-11-12 20:09:40 [main] INFO  : HHH000026: Second-level cache disabled
2025-11-12 20:09:40 [main] INFO  : No LoadTimeWeaver setup: ignoring JPA class transformer
2025-11-12 20:09:40 [main] INFO  : HikariPool-1 - Starting...
2025-11-12 20:09:40 [main] INFO  : HikariPool-1 - Added connection org.mariadb.jdbc.Connection@b5bddfe
2025-11-12 20:09:40 [main] INFO  : HikariPool-1 - Start completed.
2025-11-12 20:09:40 [main] WARN  : HHH90000025: MariaDBDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2025-11-12 20:09:41 [main] INFO  : HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-11-12 20:09:41 [main] INFO  : Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-11-12 20:09:42 [main] WARN  : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-11-12 20:09:42 [main] INFO  : Global AuthenticationManager configured with UserDetailsService bean with name userDetailService
2025-11-12 20:09:42 [main] INFO  : Exposing 1 endpoint beneath base path '/actuator'
2025-11-12 20:09:43 [main] INFO  : Starting ProtocolHandler ["https-jsse-nio-443"]
2025-11-12 20:09:43 [main] INFO  : Connector [https-jsse-nio-443], TLS virtual host [_default_], certificate type [UNDEFINED] configured from keystore [C:\Users\kjerz\.keystore] using alias [shopping_list_keystore] with trust store [null]
2025-11-12 20:09:43 [main] INFO  : Tomcat started on port 443 (https) with context path '/'
2025-11-12 20:09:43 [main] INFO  : Started ShoppingListServiceApplication in 5.991 seconds (process running for 6.778)
2025-11-12 20:50:58 [tomcat-handler-4] INFO  : Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-11-12 20:50:58 [tomcat-handler-4] INFO  : Initializing Servlet 'dispatcherServlet'
2025-11-12 20:50:58 [tomcat-handler-4] INFO  : Completed initialization in 1 ms
2025-11-12 22:20:52 [SpringApplicationShutdownHook] INFO  : Commencing graceful shutdown. Waiting for active requests to complete
2025-11-12 22:20:52 [tomcat-shutdown] INFO  : Graceful shutdown complete
2025-11-12 22:20:54 [SpringApplicationShutdownHook] INFO  : Closing JPA EntityManagerFactory for persistence unit 'default'
