2026-03-28 12:24:16 [HikariPool-1 housekeeper] WARN  : HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=13h16m25s135ms845µs).
2026-03-28 12:51:26 [tomcat-handler-23] INFO  : New session connected: ed8292a5-e5b8-315e-17aa-b8ce9d44845c, user: t1
2026-03-28 12:51:26 [tomcat-handler-24] INFO  : New message from user: t1
2026-03-28 12:51:26 [tomcat-handler-24] INFO  : End of message processing - session: ed8292a5-e5b8-315e-17aa-b8ce9d44845c from: t1
2026-03-28 12:51:26 [tomcat-handler-24] INFO  : New message from user: t1
2026-03-28 12:51:26 [tomcat-handler-24] INFO  : End of message processing - session: ed8292a5-e5b8-315e-17aa-b8ce9d44845c from: t1
2026-03-28 12:51:26 [tomcat-handler-24] INFO  : New message from user: t1
2026-03-28 12:51:26 [tomcat-handler-24] ERROR : java.lang.IllegalArgumentException: Wrong amount of parameters
2026-03-28 12:51:26 [tomcat-handler-24] INFO  : End of message processing - session: ed8292a5-e5b8-315e-17aa-b8ce9d44845c from: t1
2026-03-28 12:51:26 [tomcat-handler-24] INFO  : New message from user: t1
2026-03-28 12:51:26 [tomcat-handler-24] INFO  : /synchronizeData connected: User UsernamePasswordAuthenticationToken [Principal=t1, Credentials=[PROTECTED], Authenticated=true, Details=eyJhbGciOiJIUzM4NCJ9.eyJzdWIiOiJ0MSIsImlhdCI6MTc3NDY5ODY4NiwiZXhwIjoxNzc0Njk5NTg2fQ.qWPTUo9iwDD3cF9QMjR4tkR0E2Xp4EKMOenPSvE1m-FupZ3EJEm7xGX47QrEYokf, Granted Authorities=[USER]]
2026-03-28 12:51:26 [tomcat-handler-24] INFO  : Sending message to owner: ed8292a5-e5b8-315e-17aa-b8ce9d44845c
2026-03-28 12:51:26 [tomcat-handler-24] INFO  : End of message processing - session: ed8292a5-e5b8-315e-17aa-b8ce9d44845c from: t1
2026-03-28 12:53:28 [tomcat-handler-25] INFO  : Session closing: ed8292a5-e5b8-315e-17aa-b8ce9d44845c - reason: null
2026-03-28 12:54:00 [tomcat-handler-26] INFO  : New session connected: b4befebf-2856-eff8-875c-67c3f3bfe196, user: t1
2026-03-28 12:54:00 [tomcat-handler-27] INFO  : New message from user: t1
2026-03-28 12:54:00 [tomcat-handler-27] INFO  : End of message processing - session: b4befebf-2856-eff8-875c-67c3f3bfe196 from: t1
2026-03-28 12:54:00 [tomcat-handler-27] INFO  : New message from user: t1
2026-03-28 12:54:00 [tomcat-handler-27] INFO  : End of message processing - session: b4befebf-2856-eff8-875c-67c3f3bfe196 from: t1
2026-03-28 12:54:00 [tomcat-handler-27] INFO  : New message from user: t1
2026-03-28 12:54:00 [tomcat-handler-27] ERROR : java.lang.IllegalArgumentException: Wrong amount of parameters
2026-03-28 12:54:00 [tomcat-handler-27] INFO  : End of message processing - session: b4befebf-2856-eff8-875c-67c3f3bfe196 from: t1
2026-03-28 12:54:00 [tomcat-handler-27] INFO  : New message from user: t1
2026-03-28 12:54:00 [tomcat-handler-27] INFO  : /synchronizeData connected: User UsernamePasswordAuthenticationToken [Principal=t1, Credentials=[PROTECTED], Authenticated=true, Details=eyJhbGciOiJIUzM4NCJ9.eyJzdWIiOiJ0MSIsImlhdCI6MTc3NDY5ODg0MCwiZXhwIjoxNzc0Njk5NzQwfQ.BLAJNBhlFhSz1RyiWCfE-fA81TiAhnWt7czOaCOWlmVTdkfas_Qv-Qz1ejssqevQ, Granted Authorities=[USER]]
2026-03-28 12:54:00 [tomcat-handler-27] INFO  : Sending message to owner: b4befebf-2856-eff8-875c-67c3f3bfe196
2026-03-28 12:54:00 [tomcat-handler-27] INFO  : End of message processing - session: b4befebf-2856-eff8-875c-67c3f3bfe196 from: t1
2026-03-28 12:55:31 [tomcat-handler-28] INFO  : Session closing: b4befebf-2856-eff8-875c-67c3f3bfe196 - reason: null
2026-03-28 12:56:05 [tomcat-handler-29] INFO  : New session connected: 4c24be49-e7a0-103b-990c-072bfa96d066, user: t1
2026-03-28 12:56:05 [tomcat-handler-30] INFO  : New message from user: t1
2026-03-28 12:56:05 [tomcat-handler-30] INFO  : End of message processing - session: 4c24be49-e7a0-103b-990c-072bfa96d066 from: t1
2026-03-28 12:56:05 [tomcat-handler-30] INFO  : New message from user: t1
2026-03-28 12:56:05 [tomcat-handler-30] INFO  : End of message processing - session: 4c24be49-e7a0-103b-990c-072bfa96d066 from: t1
2026-03-28 12:56:05 [tomcat-handler-30] INFO  : New message from user: t1
2026-03-28 12:56:05 [tomcat-handler-30] ERROR : java.lang.IllegalArgumentException: Wrong amount of parameters
2026-03-28 12:56:05 [tomcat-handler-30] INFO  : End of message processing - session: 4c24be49-e7a0-103b-990c-072bfa96d066 from: t1
2026-03-28 12:56:05 [tomcat-handler-30] INFO  : New message from user: t1
2026-03-28 12:56:05 [tomcat-handler-30] INFO  : /synchronizeData connected: User UsernamePasswordAuthenticationToken [Principal=t1, Credentials=[PROTECTED], Authenticated=true, Details=eyJhbGciOiJIUzM4NCJ9.eyJzdWIiOiJ0MSIsImlhdCI6MTc3NDY5ODk2NSwiZXhwIjoxNzc0Njk5ODY1fQ.HgMfbnwx8hW9jhKGwvrbV-jmNkDQMaJHKnF_VZShZeiqtPEbHjxS9D0uneD9cP7i, Granted Authorities=[USER]]
2026-03-28 12:56:05 [tomcat-handler-30] INFO  : Sending message to owner: 4c24be49-e7a0-103b-990c-072bfa96d066
2026-03-28 12:56:05 [tomcat-handler-30] INFO  : End of message processing - session: 4c24be49-e7a0-103b-990c-072bfa96d066 from: t1
2026-03-28 12:57:19 [tomcat-handler-31] INFO  : Session closing: 4c24be49-e7a0-103b-990c-072bfa96d066 - reason: null
2026-03-28 12:57:38 [tomcat-handler-32] INFO  : New session connected: 7b593b0c-e28a-213e-3e06-43e2b5ed55a5, user: t1
2026-03-28 12:57:38 [tomcat-handler-33] INFO  : New message from user: t1
2026-03-28 12:57:38 [tomcat-handler-33] INFO  : End of message processing - session: 7b593b0c-e28a-213e-3e06-43e2b5ed55a5 from: t1
2026-03-28 12:57:38 [tomcat-handler-33] INFO  : New message from user: t1
2026-03-28 12:57:38 [tomcat-handler-33] INFO  : End of message processing - session: 7b593b0c-e28a-213e-3e06-43e2b5ed55a5 from: t1
2026-03-28 12:57:38 [tomcat-handler-33] INFO  : New message from user: t1
2026-03-28 12:57:38 [tomcat-handler-33] ERROR : java.lang.IllegalArgumentException: Wrong amount of parameters
2026-03-28 12:57:38 [tomcat-handler-33] INFO  : End of message processing - session: 7b593b0c-e28a-213e-3e06-43e2b5ed55a5 from: t1
2026-03-28 12:57:38 [tomcat-handler-34] INFO  : New message from user: t1
2026-03-28 12:57:38 [tomcat-handler-34] INFO  : /synchronizeData connected: User UsernamePasswordAuthenticationToken [Principal=t1, Credentials=[PROTECTED], Authenticated=true, Details=eyJhbGciOiJIUzM4NCJ9.eyJzdWIiOiJ0MSIsImlhdCI6MTc3NDY5ODk2NSwiZXhwIjoxNzc0Njk5ODY1fQ.HgMfbnwx8hW9jhKGwvrbV-jmNkDQMaJHKnF_VZShZeiqtPEbHjxS9D0uneD9cP7i, Granted Authorities=[USER]]
2026-03-28 12:57:38 [tomcat-handler-34] INFO  : Sending message to owner: 7b593b0c-e28a-213e-3e06-43e2b5ed55a5
2026-03-28 12:57:38 [tomcat-handler-34] INFO  : End of message processing - session: 7b593b0c-e28a-213e-3e06-43e2b5ed55a5 from: t1
2026-03-28 12:59:03 [tomcat-handler-35] INFO  : Session closing: 7b593b0c-e28a-213e-3e06-43e2b5ed55a5 - reason: null
2026-03-28 12:59:03 [tomcat-handler-36] INFO  : New session connected: 506c0f8a-af6f-4fd1-1f23-9abd85af254e, user: t1
2026-03-28 12:59:03 [tomcat-handler-37] INFO  : New message from user: t1
2026-03-28 12:59:03 [tomcat-handler-37] INFO  : End of message processing - session: 506c0f8a-af6f-4fd1-1f23-9abd85af254e from: t1
2026-03-28 12:59:03 [tomcat-handler-37] INFO  : New message from user: t1
2026-03-28 12:59:03 [tomcat-handler-37] INFO  : End of message processing - session: 506c0f8a-af6f-4fd1-1f23-9abd85af254e from: t1
2026-03-28 12:59:03 [tomcat-handler-37] INFO  : New message from user: t1
2026-03-28 12:59:03 [tomcat-handler-37] ERROR : java.lang.IllegalArgumentException: Wrong amount of parameters
2026-03-28 12:59:03 [tomcat-handler-37] INFO  : End of message processing - session: 506c0f8a-af6f-4fd1-1f23-9abd85af254e from: t1
2026-03-28 12:59:03 [tomcat-handler-37] INFO  : New message from user: t1
2026-03-28 12:59:03 [tomcat-handler-37] INFO  : /synchronizeData connected: User UsernamePasswordAuthenticationToken [Principal=t1, Credentials=[PROTECTED], Authenticated=true, Details=eyJhbGciOiJIUzM4NCJ9.eyJzdWIiOiJ0MSIsImlhdCI6MTc3NDY5ODk2NSwiZXhwIjoxNzc0Njk5ODY1fQ.HgMfbnwx8hW9jhKGwvrbV-jmNkDQMaJHKnF_VZShZeiqtPEbHjxS9D0uneD9cP7i, Granted Authorities=[USER]]
2026-03-28 12:59:03 [tomcat-handler-37] INFO  : Sending message to owner: 506c0f8a-af6f-4fd1-1f23-9abd85af254e
2026-03-28 12:59:03 [tomcat-handler-37] INFO  : End of message processing - session: 506c0f8a-af6f-4fd1-1f23-9abd85af254e from: t1
2026-03-28 13:01:24 [tomcat-handler-38] INFO  : Session closing: 506c0f8a-af6f-4fd1-1f23-9abd85af254e - reason: null
2026-03-28 13:01:47 [tomcat-handler-39] INFO  : New session connected: 57c89995-df33-5942-f464-c6c0f2bcd648, user: t1
2026-03-28 13:01:47 [tomcat-handler-40] INFO  : New message from user: t1
2026-03-28 13:01:47 [tomcat-handler-40] INFO  : End of message processing - session: 57c89995-df33-5942-f464-c6c0f2bcd648 from: t1
2026-03-28 13:01:47 [tomcat-handler-40] INFO  : New message from user: t1
2026-03-28 13:01:47 [tomcat-handler-40] INFO  : End of message processing - session: 57c89995-df33-5942-f464-c6c0f2bcd648 from: t1
2026-03-28 13:01:47 [tomcat-handler-40] INFO  : New message from user: t1
2026-03-28 13:01:47 [tomcat-handler-40] ERROR : java.lang.IllegalArgumentException: Wrong amount of parameters
