2026-03-29 00:03:15 [tomcat-handler-11] INFO  : Session closing: 824e16d8-107d-9b65-05fd-8549b255ae08 - reason: null
2026-03-29 00:03:36 [tomcat-handler-12] INFO  : New session connected: 548695b4-f673-bbc0-a261-dd4c9f4faa92, user: t1
2026-03-29 00:03:36 [tomcat-handler-13] INFO  : New message from user: t1
2026-03-29 00:03:36 [tomcat-handler-13] INFO  : End of message processing - session: 548695b4-f673-bbc0-a261-dd4c9f4faa92 from: t1
2026-03-29 00:03:36 [tomcat-handler-13] INFO  : New message from user: t1
2026-03-29 00:03:36 [tomcat-handler-13] INFO  : End of message processing - session: 548695b4-f673-bbc0-a261-dd4c9f4faa92 from: t1
2026-03-29 00:03:36 [tomcat-handler-13] INFO  : New message from user: t1
2026-03-29 00:03:36 [tomcat-handler-13] ERROR : java.lang.IllegalArgumentException: Wrong amount of parameters
2026-03-29 00:03:36 [tomcat-handler-13] INFO  : End of message processing - session: 548695b4-f673-bbc0-a261-dd4c9f4faa92 from: t1
2026-03-29 00:03:36 [tomcat-handler-13] INFO  : New message from user: t1
2026-03-29 00:03:36 [tomcat-handler-13] INFO  : /synchronizeData connected: User UsernamePasswordAuthenticationToken [Principal=t1, Credentials=[PROTECTED], Authenticated=true, Details=eyJhbGciOiJIUzM4NCJ9.eyJzdWIiOiJ0MSIsImlhdCI6MTc3NDczODQyNCwiZXhwIjoxNzc0NzM5MzI0fQ.-_wxckd2OJmB7zW4OxiQbeHYlAF-zzIWG28KSQ4i7qkFC7J-nvb7TRLJPS2zePFn, Granted Authorities=[USER]]
2026-03-29 00:03:36 [tomcat-handler-13] INFO  : Sending message to owner: 548695b4-f673-bbc0-a261-dd4c9f4faa92
2026-03-29 00:03:36 [tomcat-handler-13] INFO  : End of message processing - session: 548695b4-f673-bbc0-a261-dd4c9f4faa92 from: t1
2026-03-29 00:18:13 [tomcat-handler-14] INFO  : Session closing: 548695b4-f673-bbc0-a261-dd4c9f4faa92 - reason: null
2026-03-29 00:19:06 [tomcat-handler-31] INFO  : New session connected: 015f9f6f-c4d1-eedd-eff2-4c76e33de83e, user: t1
2026-03-29 00:19:06 [tomcat-handler-32] INFO  : New message from user: t1
2026-03-29 00:19:06 [tomcat-handler-32] INFO  : End of message processing - session: 015f9f6f-c4d1-eedd-eff2-4c76e33de83e from: t1
2026-03-29 00:19:06 [tomcat-handler-32] INFO  : New message from user: t1
2026-03-29 00:19:06 [tomcat-handler-32] INFO  : End of message processing - session: 015f9f6f-c4d1-eedd-eff2-4c76e33de83e from: t1
2026-03-29 00:19:06 [tomcat-handler-32] INFO  : New message from user: t1
2026-03-29 00:19:06 [tomcat-handler-32] ERROR : java.lang.IllegalArgumentException: Wrong amount of parameters
2026-03-29 00:19:06 [tomcat-handler-32] INFO  : End of message processing - session: 015f9f6f-c4d1-eedd-eff2-4c76e33de83e from: t1
2026-03-29 00:19:06 [tomcat-handler-32] INFO  : New message from user: t1
2026-03-29 00:19:06 [tomcat-handler-32] INFO  : /synchronizeData connected: User UsernamePasswordAuthenticationToken [Principal=t1, Credentials=[PROTECTED], Authenticated=true, Details=eyJhbGciOiJIUzM4NCJ9.eyJzdWIiOiJ0MSIsImlhdCI6MTc3NDczOTk0NiwiZXhwIjoxNzc0NzQwODQ2fQ.PPWUG6GkFp8O4t7symhxPjeNiYy5eFLhfLAdU3mHXomvCS_XoMcaMBDV38y77NNn, Granted Authorities=[USER]]
2026-03-29 00:19:06 [tomcat-handler-32] INFO  : Sending message to owner: 015f9f6f-c4d1-eedd-eff2-4c76e33de83e
2026-03-29 00:19:06 [tomcat-handler-32] INFO  : End of message processing - session: 015f9f6f-c4d1-eedd-eff2-4c76e33de83e from: t1
2026-03-29 00:19:59 [tomcat-handler-33] INFO  : New message from user: t1
2026-03-29 00:20:00 [tomcat-handler-33] INFO  : /postShoppingItem connected: User UsernamePasswordAuthenticationToken [Principal=t1, Credentials=[PROTECTED], Authenticated=true, Details=eyJhbGciOiJIUzM4NCJ9.eyJzdWIiOiJ0MSIsImlhdCI6MTc3NDczOTk0NiwiZXhwIjoxNzc0NzQwODQ2fQ.PPWUG6GkFp8O4t7symhxPjeNiYy5eFLhfLAdU3mHXomvCS_XoMcaMBDV38y77NNn, Granted Authorities=[USER]]
2026-03-29 00:20:00 [tomcat-handler-33] ERROR : pl.kamjer.shoppinglistservice.exception.NoResourcesFoundException: No such topic exists
2026-03-29 00:20:00 [tomcat-handler-33] INFO  : End of message processing - session: 015f9f6f-c4d1-eedd-eff2-4c76e33de83e from: t1
2026-03-29 00:20:00 [tomcat-handler-34] INFO  : New message from user: t1
2026-03-29 00:20:00 [tomcat-handler-34] INFO  : /postShoppingItem connected: User UsernamePasswordAuthenticationToken [Principal=t1, Credentials=[PROTECTED], Authenticated=true, Details=eyJhbGciOiJIUzM4NCJ9.eyJzdWIiOiJ0MSIsImlhdCI6MTc3NDczOTk0NiwiZXhwIjoxNzc0NzQwODQ2fQ.PPWUG6GkFp8O4t7symhxPjeNiYy5eFLhfLAdU3mHXomvCS_XoMcaMBDV38y77NNn, Granted Authorities=[USER]]
2026-03-29 00:20:00 [tomcat-handler-34] ERROR : pl.kamjer.shoppinglistservice.exception.NoResourcesFoundException: No such topic exists
2026-03-29 00:20:00 [tomcat-handler-34] INFO  : End of message processing - session: 015f9f6f-c4d1-eedd-eff2-4c76e33de83e from: t1
2026-03-29 00:20:01 [tomcat-handler-35] INFO  : New message from user: t1
